Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
5655,VT,0.175,1372.69,11/10/2009,44.59,-72.61,3;80,Lamoille,50015
5730,VT,0.4,8585,04/13/2009,43.42,-72.81,3;80,Rutland,50021
5344,VT,0.42,20900.0,05/15/2011,42.86,-72.72,3;86,Windham,50025
5769,VT,0.64,6630,5/6/2009,43.90,-73.10,3;83,Addison,50001
5769,VT,0.64,5825,03/16/2009,43.90,-73.10,3;83,Addison,50001
5663,VT,0.66,7704,8/10/2006,44.15,-72.65,3;82,Washington,55131
5401,VT,0.675,2040.0,08/16/2011,44.48,-73.22,3;77,Chittenden,50007
5053,VT,0.72,12010,07/17/2008,43.72,-72.49,3;69,Windsor,50027
5682,VT,0.75,11045,03/14/2008,44.37,-72.55,3;80,Washington,55131
5075,VT,0.76,0.0,07/14/2010,43.82,-72.27,3;66,Orange,51137
5770,VT,0.84,8108.4,6/11/2004,43.90,-73.32,3;76,Addison,50001
5655,VT,0.896,5040.6,12/9/2011,44.59,-72.61,3;80,Lamoille,50015
5344,VT,0.92,7560,1/11/2007,42.86,-72.72,3;86,Windham,50025
5047,VT,0.92,12065.91,04/27/2011,43.65,-72.32,0,0,0
5648,VT,0.96,,6/3/2002,0,0,3;74,Washington,55131
5047,VT,0.96,4091.88,12/19/2008,44.38,-72.43,0,0,0
5757,VT,0.96,6800,10/5/2007,43.65,-72.32,3;68,Rutland,50021
5053,VT,0.96,19467,04/20/2006,0,0,3;69,Windsor,50027
5344,VT,1,14153.45,07/16/2009,43.48,-73.12,3;86,Windham,50025
5055,VT,1,3000,08/25/2009,43.72,-72.49,3;67,Windsor,50027
5461,VT,1,14284,11/25/2009,42.86,-72.72,3;83,Chittenden,50007
5359,VT,1,10411,10/21/2009,43.72,-72.30,3;78,Windham,50025
5495,VT,1,10838.61,04/14/2009,44.33,-73.12,3;82,Chittenden,50007
5031,VT,1,10189,02/17/2009,43.13,-72.71,3;85,Windsor,50027
5401,VT,1,13854,5/11/2009,44.43,-73.07,3;77,Chittenden,50007
5478,VT,1,7485,08/17/2009,43.73,-72.62,3;76,Franklin,53021
