Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
23229,VA,1,15000,2/1/2000,37.55,-77.46,4;39,Henrico,51087
24060,VA,1.05,,5/1/2010,37.23,-80.42,4;08,Montgomery,51121
22207,VA,1.1,,11/8/2011,38.87,-77.10,4;23,Arlington,51013
22067,VA,1.44,22067.0,07/26/2003,38.93,-77.16,0,0,0
22660,VA,1.8,14400.0,12/8/2009,0,0,4;02,Shenandoah,51171
24458,VA,1.92,19900,6/1/2006,38.94,-78.43,4;13,Highland,51091
23069,VA,2,22500,3/1/2008,38.30,-79.52,4;33,Hanover,51085
24448,VA,2,,5/1/2007,37.76,-77.37,4;08,Alleghany,51005
23069,VA,2.4,30000,11/1/1999,37.79,-79.79,4;33,Hanover,51085
20171,VA,2.6,,12/27/2010,37.76,-77.37,4;40,Fairfax,51059
20132,VA,2.7,8000.0,03/17/2012,38.96,-77.38,4;17,Loudoun,51107
20132,VA,2.7,10000,03/18/2012,39.13,-77.71,4;17,Loudoun,51107
22205,VA,2.7,,05/27/2006,39.13,-77.71,4;26,Arlington,51013
22827,VA,2.76,13000.0,05/15/2011,38.87,-77.10,4;26,Rockingham,51165
23220,VA,2.8,29650,1/10/2010,38.41,-78.61,4;31,Richmond City,0
23509,VA,3,30000,03/29/2009,37.55,-77.46,0,0,0
24422,VA,3.1,29179,05/23/2009,0,0,4;30,Norfolk City,0
23221,VA,3.2,34450,03/25/2009,36.84,-76.28,0,0,0
23146,VA,3.3,42300,8/6/2009,0,0,4;09,Clifton Forge City,51085
22664,VA,3.375,25350.0,06/24/2010,37.82,-79.82,0,0,51171
22847,VA,3.53,28200.0,11/4/2010,0,0,4;35,Richmond City,51171
22624,VA,3.68,27600.0,01/24/2010,37.55,-77.46,0,0,51069
22654,VA,4.12,32960.0,12/8/2009,0,0,4;40,Hanover,51069
20147,VA,4.2,31500,04/20/2010,37.72,-77.67,4;05,Shenandoah,51107
23058,VA,4.32,,04/23/2010,38.87,-78.51,4;10,Shenandoah,0
24060,VA,5.025,28000,6/1/2004,38.72,-78.71,3;95,Frederick,51121
22041,VA,5.06,25123,4/3/2010,39.26,-78.10,4;00,Frederick,51059
20121,VA,5.64,39998.0,12/6/2010,39.08,-78.45,4;43,Loudoun,51059
20132,VA,6.0,30000.0,7/10/2010,39.04,-77.48,0,0,51107
20132,VA,6,30000,7/10/2010,37.66,-77.48,4;08,Montgomery,51107
23035,VA,6.0,31000.0,7/1/2003,0,0,4;26,Fairfax,51115
20132,VA,6.21,49680.0,12/5/2009,37.23,-80.42,4;37,Fairfax,51107
22602,VA,6.21,46575.0,4/7/2010,38.88,-77.17,4;17,Loudoun,51069
20148,VA,6.3,26360.0,07/16/2013,38.84,-77.44,4;17,Loudoun,51107
22646,VA,6.75,65750.0,9/9/2010,39.13,-77.71,4;38,Mathews,51043
23607,VA,8.1,55000.0,02/17/2010,39.13,-77.71,4;17,Loudoun,0
20132,VA,8.45,58500,5/11/2010,37.50,-76.39,3;99,Frederick,51107
20147,VA,9.8,65000,04/29/2010,39.13,-77.71,4;43,Loudoun,51107
22911,VA,9.89,65000.0,04/15/2010,39.17,-78.17,4;02,Clarke,51003
23860,VA,10.8,,1/8/2010,39.04,-77.48,4;40,Newport News City,0
20165,VA,11.7,43472.0,05/14/2013,39.06,-78.03,0,0,51107
20132,VA,15.75,84000.0,7/1/2011,37.07,-76.51,4;17,Loudoun,51107
20132,VA,18.9,110000.0,1/1/2011,0,0,4;43,Loudoun,51107
22802,VA,104.32,,11/3/2010,39.13,-77.71,4;31,Albemarle,51165
22192,VA,504.0,,7/11/2012,39.04,-77.48,4;37,Hopewell City,51153
