Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
98801,WA,0;3,4800,5-3-2002,47.37,-120.35,4;85,Chelan,53007,16000,2902;04918
98620,WA,0;44,12400,2-7-2007,45.84,-120.76,5;15,Klickitat,53039,28181;81818,4519;617486
98856,WA,0;48,9000,10/13/1997,48.32,-119.93,4;44,Okanogan,53047,18750,4250;754098
98831,WA,0;6,6000,5-6-2006,47.97,-120.15,4;74,Chelan,53007,10000,5672;459016
98815,WA,0;6,6000,5-2-2002,47.55,-120.48,4;8,Chelan,53007,10000,5744;262295
98672,WA,0;66,10000,2-5-2005,45.82,-121.46,4;62,Klickitat,53039,15151;51515,6081;737705
98466,WA,0;7,4230,4-4-2009,47.22,-122.54,3;31,Pierce,55093,6042;857143,4621;338798
98620,WA,0;72,11445,2-8-2008,45.84,-120.76,5;15,Klickitat,53039,15895;83333,7395;737705
98628,WA,0;72,4500,11-7-2007,45.84,-121.04,5;07,Klickitat,53039,6250,7280;852459
98672,WA,1.006,27000,3-8-2008,45.82,-121.46,4;62,Klickitat,53039,26;8389662,9270042;623
98620,WA,1;08,21000,6-9-2009,45.84,-120.76,5;15,Klickitat,53039,19444;44444,11093;60656
98620,WA,1;08,21491,7-8-2008,45.84,-120.76,5;15,Klickitat,53039,19899;07407,11093;60656
98635,WA,1;08,15000,8-7-2007,45.72,-121.16,4;91,Klickitat,53039,13888;88889,10576;62295
98672,WA,1;08,22000,7-7-2007,45.82,-121.46,4;62,Klickitat,53039,20370;37037,9951;934426
98620,WA,1;08,9800,6-7-2007,45.84,-120.76,5;15,Klickitat,53039,9074;074074,11093;60656
99301,WA,11.169,11834,5-8-2008,46.41,-118.90,5;3,Franklin,53021,1;059539798,118067926;2
98826,WA,1.155,11550,05/20/2007,47.81,-120.86,3;98,Chelan,53007,10,9168680;328
98801,WA,1.155,11550,6-1-2006,47.37,-120.35,4;85,Chelan,53007,10,11172889;34
98620,WA,1;21,8400,9-5-2005,45.84,-120.76,5;15,Klickitat,53039,6942;14876,12428;94809
98620,WA,1;23,17177,6-9-2009,45.84,-120.76,5;15,Klickitat,53039,13965;04065,12634;38525
98620,WA,1;26,24958,8-1-2009,45.84,-120.76,5;15,Klickitat,53039,19807;93651,12942;54098
98952,WA,1;29,7740,10/20/2009,46.36,-120.78,5;02,Yakima,53077,6000,12916;21311
98816,WA,1;3,13000,03/31/2005,47.89,-119.99,4;71,Chelan,53007,10000,12212;54098
98801,WA,1;3,13000,09/20/2004,47.37,-120.35,4;85,Chelan,53007,10000,12575;54645
98816,WA,1;3,13000,3-3-2005,47.89,-119.99,4;71,Chelan,53007,10000,12212;54098
98801,WA,1;3,13000,04/28/2005,47.37,-120.35,4;85,Chelan,53007,10000,12575;54645
98815,WA,1;3,13000,04/21/2005,47.55,-120.48,4;8,Chelan,53007,10000,12445;90164
