Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
24966,WV,0;36,2160,05/19/2010,37.98,-80.36,3;87,Greenbrier,54025,6000,2778;786885
24901,WV,0;9,5400,1-5-2011,37.80,-80.43,3;85,Greenbrier,54025,6000,6911;065574
25411,WV,0;9,7490,11/16/2010,39.55,-78.21,3;86,Morgan,54065,8322;222222,6929;016393
25411,WV,0;92,9000,09/15/2010,39.55,-78.21,3;86,Morgan,54065,9782;608696,7082;994536
26651,WV,1,3585,7-10-2012,38.28,-80.84,3;64,Nicholas,54067,3585,7260;10929
25422,WV,1,7500,3-1-2010,39.62,-78.29,3;81,Morgan,54065,7500,7599;180328
25438,WV,1;3,10000,08/13/2010,39.29,-77.86,4,Jefferson,55055,7692;307692,10371;5847
25443,WV,1;3,25000,09/19/2008,39.43,-77.80,3;96,Jefferson,55055,19230;76923,10267;86885
25411,WV,1;41,9165,04/29/2011,39.55,-78.21,3;86,Morgan,54065,6500,10855;45902
25411,WV,1;41,9517;5,04/26/2011,39.55,-78.21,3;86,Morgan,54065,6750,10855;45902
25314,WV,1;44,,09/19/2011,38.35,-81.63,3;72,Kanawha,54039,0,10684;32787
25404,WV,1;58,11850,7-1-2010,39.46,-77.96,3;88,0,0,7500,12227;30055
24966,WV,1;68,9500,10-11-2011,0,0,0,Greenbrier,54025,5654;761905,0
25976,WV,1;75,13000,09/16/2009,37.98,-80.36,3;87,Fayette,54019,7428;571429,13507;9918
24976,WV,1;8,14362,10/29/2009,37.86,-80.85,3;77,Monroe,55081,7978;888889,13534;91803
25411,WV,1;84,13800,04/21/2010,37.66,-80.52,3;93,Morgan,54065,7500,14422;88525
25976,WV,1;9,11400,08/16/2011,39.55,-78.21,3;86,Fayette,54019,6000,14627;9235
24901,WV,1;92,10200,07/26/2012,37.86,-80.85,3;77,Greenbrier,54025,5312;5,14437;2459
25443,WV,2;07,13500,09/14/2010,37.80,-80.43,3;85,Jefferson,55055,6521;73913,15895;45082
25443,WV,2;1,20000,04/23/2010,39.43,-77.80,3;96,Jefferson,55055,9523;809524,16586;55738
25411,WV,2;35,14000,6-10-2011,39.43,-77.80,3;96,Morgan,54065,5957;446809,18561;14754
25411,WV,2;35,15275,04/20/2011,39.55,-78.21,3;86,Morgan,54065,6500,18092;43169
25427,WV,2;7,28250,8-11-2010,39.55,-78.21,3;86,Berkeley,54003,10462;96296,20787;04918
24901,WV,2;76,15500,05/18/2011,39.55,-77.99,3;88,Greenbrier,54025,5615;942029,21359;08197
25411,WV,2;76,20700,5-9-2010,37.80,-80.43,3;85,Morgan,54065,7500,21193;93443
25428,WV,2;82,18330,01/26/2011,39.55,-78.21,3;86,Berkeley,54003,6500,21710;91803
25411,WV,2;82,19035,4-7-2011,39.35,-78.05,3;91,Morgan,54065,6750,21992;14754
25411,WV,2;82,19035,10/13/1997,39.55,-78.21,3;86,Morgan,54065,6750,21710;91803
25443,WV,2;82,,05/25/2011,39.55,-78.21,3;86,Jefferson,55055,0,21710;91803
25443,WV,2;82,19740,11-2-2010,39.43,-77.80,3;96,Jefferson,55055,7000,22273;37705
