Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
98801,WA,0.3,4800,5/3/2002,47.37,-120.35,4;85,Chelan,53007
98620,WA,0.44,12400.0,2/7/2007,45.84,-120.76,5;15,Klickitat,53039
98856,WA,0.48,9000.0,10/13/1997,48.32,-119.93,4;44,Okanogan,53047
98831,WA,0.6,6000,5/6/2006,47.97,-120.15,4;74,Chelan,53007
98815,WA,0.6,6000,5/2/2002,47.55,-120.48,4;80,Chelan,53007
98672,WA,0.66,10000.0,2/5/2005,45.82,-121.46,4;62,Klickitat,53039
98466,WA,0.7,4230,4/4/2009,47.22,-122.54,3;31,Pierce,55093
98620,WA,0.72,11445.0,2/8/2008,45.84,-120.76,5;15,Klickitat,53039
98628,WA,0.72,4500.0,11/7/2007,45.84,-121.04,5;07,Klickitat,53039
98672,WA,1.006,27000.0,3/8/2008,45.82,-121.46,4;62,Klickitat,53039
98620,WA,1.08,21000.0,6/9/2009,45.84,-120.76,5;15,Klickitat,53039
98620,WA,1.08,21491.0,7/8/2008,45.84,-120.76,5;15,Klickitat,53039
98635,WA,1.08,15000.0,8/7/2007,45.72,-121.16,4;91,Klickitat,53039
98672,WA,1.08,22000.0,7/7/2007,45.82,-121.46,4;62,Klickitat,53039
98620,WA,1.08,9800.0,6/7/2007,45.84,-120.76,5;15,Klickitat,53039
99301,WA,11.169,11834.0,5/8/2008,46.41,-118.90,5;30,Franklin,53021
98826,WA,1.155,11550,05/20/2007,47.81,-120.86,3;98,Chelan,53007
98801,WA,1.155,11550,6/1/2006,47.37,-120.35,4;85,Chelan,53007
98620,WA,1.21,8400.0,9/5/2005,45.84,-120.76,5;15,Klickitat,53039
98620,WA,1.23,17177.0,6/9/2009,45.84,-120.76,5;15,Klickitat,53039
98620,WA,1.26,24958.0,8/1/2009,45.84,-120.76,5;15,Klickitat,53039
98952,WA,1.29,7740.0,10/20/2009,46.36,-120.78,5;02,Yakima,53077
98816,WA,1.3,13000,03/31/2005,47.89,-119.99,4;71,Chelan,53007
98801,WA,1.3,13000,09/20/2004,47.37,-120.35,4;85,Chelan,53007
