observation_date,AKPOP_20150126,ALPOP_20150126,ARPOP_20150126,AZPOP_20150126,CAPOP_20150126,COPOP_20150126,CTPOP_20150126,DCPOP_20150126,DEPOP_20150126,DSPOP_20150126,FLPOP_20150126,GAPOP_20150126,HIPOP_20150126,IAPOP_20150126,IDPOP_20150126,ILPOP_20150126,INPOP_20150126,KSPOP_20150126,KYPOP_20150126,LAPOP_20150126,MAPOP_20150126,MDPOP_20150126,MEPOP_20150126,MIPOP_20150126,MNPOP_20150126,MOPOP_20150126,MSPOP_20150126,MTPOP_20150126,NCPOP_20150126,NDPOP_20150126,NEPOP_20150126,NHPOP_20150126,NJPOP_20150126,NMPOP_20150126,NVPOP_20150126,NYPOP_20150126,OHPOP_20150126,OKPOP_20150126,ORPOP_20150126,PAPOP_20150126,RIPOP_20150126,SCPOP_20150126,SDPOP_20150126,TNPOP_20150126,TXPOP_20150126,UTPOP_20150126,VAPOP_20150126,VTPOP_20150126,WAPOP_20150126,WIPOP_20150126,WVPOP_20150126,WYPOP_20150126
1-1-1980,405.315,3.900.368,2.288.738,2.737.774,23.800.800,2.908.803,3.113.174,638.284,594.919,34.925.942,9.839.835,5.486.174,967.710,2.914.018,947.983,11.434.702,5.490.721,2.369.039,3.664.221,4.223.101,5.746.075,4.227.643,1.126.860,9.255.553,4.085.017,4.921.966,2.525.342,788.752,5.898.980,654.380,1.572.296,924.250,7.376.330,1.309.400,810.215,17.566.754,10.800.650,3.040.758,2.641.218,11.868.305,948.773,3.134.502,690.851,4.600.252,14.338.208,1.472.595,5.368.334,512.524,4.154.678,4.712.045,1.951.349,474.185
1-1-1981,418.491,3.918.531,2.293.201,2.810.107,24.285.933,2.977.898,3.128.836,636.893,595.975,34.986.246,10.192.774,5.568.345,978.195,2.907.983,962.204,11.443.458,5.480.435,2.384.849,3.670.394,4.283.303,5.768.685,4.261.905,1.133.033,9.209.287,4.111.728,4.932.064,2.539.036,795.328,5.956.653,659.505,1.578.515,936.621,7.407.472,1.332.748,847.655,17.567.734,10.788.330,3.096.164,2.667.982,11.858.567,953.013,3.179.255,689.584,4.627.658,14.746.318,1.515.471,5.444.097,515.594,4.235.731,4.726.343,1.954.124,491.712
1-1-1982,449.606,3.925.266,2.294.257,2.889.861,24.820.009,3.061.564,3.139.013,634.174,599.148,35.001.305,10.471.407,5.649.792,993.780,2.888.189,973.721,11.423.412,5.467.922,2.401.202,3.683.445,4.352.608,5.771.222,4.282.923,1.136.684,9.115.198,4.131.450,4.929.451,2.556.777,803.986,6.019.101,668.972,1.581.780,947.719,7.430.968,1.363.823,881.537,17.589.738,10.757.087,3.206.123,2.664.922,11.845.146,954.170,3.207.614,690.597,4.646.041,15.331.415,1.558.314,5.492.783,519.109,4.276.552,4.728.870,1.949.604,506.400
1-1-1983,488.417,3.934.102,2.305.761,2.968.925,25.360.026,3.133.630,3.162.354,632.433,605.458,35.030.657,10.749.851,5.728.250,1.012.717,2.870.543,981.869,11.408.818,5.450.395,2.415.531,3.694.484,4.395.316,5.799.407,4.313.327,1.144.772,9.047.754,4.141.456,4.943.733,2.567.717,814.031,6.077.056,676.688,1.584.293,958.134,7.467.785,1.394.361,901.977,17.686.905,10.737.632,3.290.402,2.653.066,11.837.723,956.382,3.234.066,693.008,4.659.749,15.751.676,1.594.943,5.564.657,523.302,4.300.266,4.721.438,1.945.061,510.345
1-1-1984,513.702,3.951.820,2.319.768,3.067.135,25.844.393,3.169.992,3.180.014,633.382,611.565,35.125.741,11.039.925,5.834.954,1.027.922,2.858.618,990.839,11.412.132,5.458.322,2.424.086,3.695.453,4.400.477,5.840.773,4.365.243,1.155.635,9.049.452,4.157.706,4.975.278,2.578.051,820.905,6.164.006,680.497,1.588.639,976.864,7.515.473,1.416.717,924.922,17.745.684,10.737.746,3.285.533,2.666.588,11.815.172,961.894,3.271.868,697.249,4.686.737,16.007.086,1.622.342,5.643.870,526.660,4.343.656,4.735.563,1.927.697,504.896
1-1-1985,532.495,3.972.523,2.327.046,3.183.538,26.441.109,3.208.723,3.201.131,634.549,618.280,35.184.555,11.351.118,5.962.661,1.039.698,2.829.684,994.051,11.399.806,5.459.211,2.427.405,3.694.826,4.408.118,5.880.733,4.413.071,1.162.936,9.076.293,4.184.302,5.000.268,2.588.102,822.320,6.253.954,676.980,1.584.664,996.753,7.565.528,1.438.361,951.030,17.791.672,10.734.926,3.271.332,2.672.652,11.770.862,968.955,3.303.209,698.402,4.715.296,16.272.734,1.642.910,5.715.153,530.035,4.400.098,4.747.767,1.906.831,499.695
1-1-1986,544.268,3.991.569,2.331.984,3.308.262,27.102.237,3.237.450,3.223.740,638.269,627.559,35.216.531,11.667.505,6.084.666,1.051.762,2.791.970,990.224,11.387.257,5.454.108,2.432.619,3.687.809,4.406.919,5.902.678,4.486.957,1.170.126,9.127.775,4.205.212,5.023.068,2.593.597,813.739,6.321.578,669.512,1.574.333,1.025.053,7.622.159,1.462.729,980.613,17.833.419,10.730.268,3.252.735,2.683.528,11.782.752,977.341,3.342.758,696.034,4.738.708,16.561.113,1.662.834,5.811.700,534.066,4.452.720,4.755.618,1.882.350,495.633
1-1-1987,539.309,4.015.264,2.342.355,3.437.103,27.777.158,3.260.480,3.247.291,636.930,636.947,35.318.042,11.997.283,6.208.467,1.067.918,2.767.011,984.997,11.391.178,5.473.012,2.445.367,3.683.329,4.344.148,5.935.204,4.565.557,1.184.574,9.187.481,4.235.136,5.056.696,2.588.545,805.063,6.403.700,661.136,1.566.547,1.054.289,7.670.742,1.478.520,1.023.376,17.868.848,10.760.090,3.210.122,2.700.991,11.810.866,989.604,3.380.506,696.036,4.782.927,16.621.791,1.678.119,5.932.268,540.267,4.531.901,4.777.919,1.857.585,476.965
1-1-1988,541.983,4.023.844,2.342.656,3.535.183,28.464.249,3.262.281,3.271.953,630.432,647.622,35.389.098,12.306.395,6.316.142,1.079.828,2.768.388,985.664,11.390.183,5.491.735,2.461.996,3.679.999,4.288.863,5.979.982,4.657.904,1.203.840,9.217.998,4.296.166,5.081.736,2.580.352,800.202,6.480.594,655.331,1.571.477,1.082.577,7.712.333,1.490.337,1.075.022,17.941.309,10.798.552,3.167.057,2.741.297,11.845.752,996.408,3.412.096,698.165,4.822.437,16.667.022,1.689.372,6.036.909,549.763,4.639.893,4.822.388,1.830.215,465.101
1-1-1989,547.159,4.030.222,2.346.358,3.622.185,29.218.164,3.275.818,3.283.403,624.168,658.273,35.481.682,12.637.715,6.411.099,1.094.588,2.770.592,994.416,11.409.782,5.523.693,2.472.849,3.677.306,4.252.894,6.015.478,4.727.301,1.219.961,9.253.295,4.338.057,5.095.830,2.574.269,799.636,6.565.459,646.351,1.574.864,1.104.522,7.726.089,1.503.901,1.137.382,17.983.086,10.829.217,3.150.307,2.790.575,11.865.996,1.000.666,3.456.775,696.701,4.854.444,16.806.735,1.705.864,6.120.246,557.707,4.746.316,4.856.574,1.806.568,458.374
