zip_code,latitude,longitude,city,state,county
29620,34.215.714,-82.446.307,Abbeville,SC,Abbeville
29628,34.191.846,-82.490.284,Calhoun Falls,SC,Abbeville
29638,34.330.362,-82.336.693,Donalds,SC,Abbeville
29639,34.326.755,-82.430.787,Due West,SC,Abbeville
29659,34.221.282,-8.263.181,Lowndesville,SC,Abbeville
70516,30.344.615,-92.345.888,Branch,LA,Acadia
70525,30.382.556,-92.318.696,Church Point,LA,Acadia
70526,30.228.294,-92.438.484,Crowley,LA,Acadia
70527,30.228.409,-92.301.795,Crowley,LA,Acadia
70531,30.256.951,-92.486.465,Egan,LA,Acadia
70534,30.184.157,-92.447.152,Estherwood,LA,Acadia
70537,30.203.238,-92.471.305,Evangeline,LA,Acadia
70543,30.299.682,-92.469.182,Iota,LA,Acadia
70556,30.186.145,-92.572.176,Mermentau,LA,Acadia
70559,30.129.756,-92.476.684,Morse,LA,Acadia
70578,30.256.405,-92.261.328,Rayne,LA,Acadia
23301,37.712.919,-75.661.132,Accomac,VA,Accomack
23302,37.865.814,-75.527.697,Assawoman,VA,Accomack
23303,37.896.797,-75.520.581,Atlantic,VA,Accomack
23306,37.567.852,-75.858.617,Belle Haven,VA,Accomack
23308,37.823.569,-75.615.138,Bloxom,VA,Accomack
23336,37.948.723,-75.436.285,Chincoteague Island,VA,Accomack
23337,37.918.556,-75.490.518,Wallops Island,VA,Accomack
23341,37.577.292,-75.864.607,Craddockville,VA,Accomack
23345,37.738.248,-75.701.449,Davis Wharf,VA,Accomack
23356,37.999.789,-75.413.184,Greenbackville,VA,Accomack
23357,37.750.487,-7.566.704,Greenbush,VA,Accomack
23358,37.639.252,-75.865.009,Hacksneck,VA,Accomack
23359,37.883.709,-75.604.063,Hallwood,VA,Accomack
23389,37.656.158,-75.848.807,Harborton,VA,Accomack
23395,37.975.567,-75.479.748,Horntown,VA,Accomack
23396,37.923.682,-75.555.142,Oak Hall,VA,Accomack
23399,37.916.218,-75.616.754,Jenkins Bridge,VA,Accomack
23401,37.596.576,-75.789.256,Keller,VA,Accomack
23404,37.677.193,-75.672.604,Locustville,VA,Accomack
